k,alpha,jacobian_sr,stable
0.25,0.1958,0.3867575275851596,1
0.25,0.2062,0.38418208812802934,1
0.25,0.2167,0.3816096580291303,1
0.25,0.2271,0.3790402259352752,1
0.25,0.2375,0.3764737804351812,1
0.25,0.2479,0.37391031006129605,1
0.25,0.2583,0.3713498032916219,1
0.25,0.2688,0.36879224855152926,1
0.25,0.2792,0.3662376342155511,1
0.25,0.2896,0.36368594860918546,1
0.25,0.3,0.3611371800106678,1
0.2625,0.05,0.444921620858111,1
0.2625,0.0604,0.4423020958513225,1
0.2625,0.0708,0.4396855841813948,1
0.2625,0.0812,0.4370720764892852,1
0.2625,0.0917,0.4344615633425639,1
0.2625,0.1021,0.431854035236979,1
0.2625,0.1125,0.4292494825980092,1
0.2625,0.1229,0.42664789578242,1
0.2625,0.1333,0.42404926507982826,1
0.2625,0.1438,0.4214535807142477,1
0.2625,0.1542,0.418860832845647,1
0.2625,0.1646,0.41627101157149793,1
0.2625,0.175,0.4136841069283229,1
0.2625,0.1854,0.4111001088932338,1
0.2625,0.1958,0.40851900738548075,1
0.2625,0.2062,0.4059407922679734,1
0.2625,0.2167,0.40336545334882584,1
0.2625,0.2271,0.4007929803828664,1
0.2625,0.2375,0.3982233630731681,1
0.2625,0.2479,0.39565659107255413,1
0.2625,0.2583,0.3930926539851063,1
0.2625,0.2688,0.3905315413676666,1
0.2625,0.2792,0.38797324273132483,1
0.2625,0.2896,0.3854177475429076,1
0.2625,0.3,0.3828650452264496,1
0.275,0.05,0.46670753375780705,1
0.275,0.0604,0.4640872814544833,1
0.275,0.0708,0.46146990786207354,1
0.275,0.0812,0.4588554044724087,1
0.275,0.0917,0.4562437627130814,1
0.275,0.1021,0.45363497394873226,1
0.275,0.1125,0.4510290294823446,1
0.275,0.1229,0.44842592055653846,1
0.275,0.1333,0.4458256383548616,1
0.275,0.1438,0.4432281740030861,1
0.275,0.1542,0.4406335185704918,1
0.275,0.1646,0.4380416630711583,1
0.275,0.175,0.43545259846524953,1
0.275,0.1854,0.4328663156602968,1
0.275,0.1958,0.43028280551248055,1
0.275,0.2062,0.42770205882790546,1
0.275,0.2167,0.4251240663638758,1
0.275,0.2271,0.42254881883016243,1
0.275,0.2375,0.41997630689027204,1
0.275,0.2479,0.4174065211627029,1
0.275,0.2583,0.41483945222220475,1
0.275,0.2688,0.41227509060103035,1
0.275,0.2792,0.40971342679017275,1
0.275,0.2896,0.40715445124061805,1
0.275,0.3,0.4045981543645665,1
0.2875,0.05,0.48849358437770307,1
0.2875,0.0604,0.4858726675498269,1
0.2875,0.0708,0.4832545063143708,1
0.2875,0.0812,0.4806390929032192,1
0.2875,0.0917,0.47802641949169977,1
0.2875,0.1021,0.47541647819966676,1
0.2875,0.1125,0.47280926109258037,1
0.2875,0.1229,0.47020476018258833,1
0.2875,0.1333,0.4676029674296167,1
0.2875,0.1438,0.46500387474244315,1
0.2875,0.1542,0.462407473979781,1
0.2875,0.1646,0.459813756951357,1
0.2875,0.175,0.45722271541898996,1
